"Index" "GOOG.Adjusted"
2011-04-05 284.261241
2011-04-06 286.803698
2011-04-07 289.710772
2011-04-08 288.791689
2011-04-11 288.397084
2011-04-12 285.020462
2011-04-13 287.852654
2011-04-14 288.966515
2011-04-15 265.085383
2011-04-18 263.15728
2011-04-19 260.504933
2011-04-20 262.602843
2011-04-21 262.288169
2011-04-25 262.263198
2011-04-26 266.144315
2011-04-27 268.61186
2011-04-28 268.716731
2011-04-29 271.778678
2011-05-02 269.011453
2011-05-03 266.678769
2011-05-04 267.627841
2011-05-05 266.868589
2011-05-06 267.383091
2011-05-09 268.571895
2011-05-10 271.059392
2011-05-11 267.458003
2011-05-12 267.258206
2011-05-13 264.510934
2011-05-16 258.951482
2011-05-17 264.965487
2011-05-18 264.640806
2011-05-19 265.360092
2011-05-20 261.753685
2011-05-23 258.936518
2011-05-24 258.871582
2011-05-25 259.575874
2011-05-26 258.806646
2011-05-27 260.190258
2011-05-31 264.246201
2011-06-01 262.537907
2011-06-02 263.766677
2011-06-03 261.279179
2011-06-06 260.270189
2011-06-07 259.256181
2011-06-08 259.326105
2011-06-09 258.107342
2011-06-10 254.500935
2011-06-13 252.11332
2011-06-14 253.931504
2011-06-15 251.224212
2011-06-16 249.935494
2011-06-17 242.268141
2011-06-20 242.048362
2011-06-21 246.254174
2011-06-22 243.262151
2011-06-23 239.870535
2011-06-24 237.203209
2011-06-27 241.159253
2011-06-28 246.57884
2011-06-29 248.536887
2011-06-30 252.937493
2011-07-01 260.255195
2011-07-05 265.954494
2011-07-06 267.41305
2011-07-07 273.02743
2011-07-08 265.729727
2011-07-11 263.37709
2011-07-12 266.738717
2011-07-13 268.861598
2011-07-14 264.206235
2011-07-15 298.512015
2011-07-18 297.173325
2011-07-19 300.974541
2011-07-20 297.37814
2011-07-21 303.192318
2011-07-22 308.806729
2011-07-25 309.181351
2011-07-26 310.949593
2011-07-27 303.307226
2011-07-28 305.165344
2011-07-29 301.543972
2011-08-01 303.082428
2011-08-02 295.90459
2011-08-03 300.285244
